gen,AVG,MIN,MAX
0,0.383180667,0.202609667,0.645638333
1,0.510012,0.283577333,0.645638333
2,0.610249,0.358174667,0.651748
3,0.469511667,0.392008,0.480228
4,0.476789333,0.370488667,0.484447
5,0.480328667,0.369881333,0.493426667
6,0.345928667,0.248034,0.351062667
7,0.347423667,0.221854333,0.352318333
8,0.351365333,0.347912667,0.352318333
9,0.281571333,0.280580333,0.282696333
10,0.281963667,0.279375,0.282696333
11,0.282542667,0.281796,0.283679333
12,0.256516,0.254206667,0.262093667
13,0.258632333,0.255198667,0.262093667
14,0.261158667,0.256932,0.262093667
15,0.299047,0.250840333,0.300297667
16,0.300272667,0.299049,0.300297667
17,0.300297667,0.300297667,0.300297667
18,0.111870567,0.078014433,0.156326
19,0.145635667,0.105515033,0.173468667
20,0.167610667,0.138978,0.195143
21,0.165838667,0.122777667,0.200597
22,0.191030333,0.163896667,0.203965333
23,0.202584,0.187834667,0.209462
24,0.087399167,0.0598996,0.112709667
25,0.100300267,0.0869232,0.112870333
26,0.110525633,0.088279167,0.117456667
27,0.13834,0.128732333,0.146870333
28,0.143433333,0.13199,0.148369
29,0.147177667,0.134366333,0.149897333
30,0.151932667,0.131818667,0.162930333
31,0.159452333,0.1422,0.162930333
32,0.162907667,0.158892667,0.164892
33,0.156139,0.144260667,0.189708333
34,0.177423333,0.146537,0.190475
35,0.191561667,0.165745667,0.204715333
36,0.104027067,0.0847225,0.110263333
37,0.1101565,0.0882629,0.114053
38,0.112614,0.109926467,0.114536667
39,0.0889295,0.0842568,0.0976459
40,0.094580833,0.083192567,0.1014859
41,0.098994233,0.082283767,0.1048599
42,0.159627333,0.143855,0.173864667
43,0.172168667,0.155311333,0.195476667
44,0.187154333,0.161666,0.203306667
45,0.118881,0.0970235,0.135449333
46,0.129516667,0.113807333,0.139670667
47,0.137316333,0.121824,0.143659
48,0.175093333,0.154016667,0.190671
49,0.186035333,0.157137667,0.197189
50,0.192796667,0.179616667,0.199176667
51,0.0777505,0.0657719,0.085922
52,0.085416,0.079048467,0.099637833
53,0.0931398,0.085922,0.1017103
54,0.0869023,0.075946,0.0917276
55,0.090246633,0.078994433,0.092072333
56,0.092319,0.0881828,0.097261567
57,0.116807667,0.110142,0.120901667
58,0.119660333,0.112719,0.126378667
59,0.123872,0.117962,0.127316333
60,0.143894667,0.133897,0.145653333
61,0.145173667,0.141991333,0.145653333
62,0.145795667,0.145214333,0.146767333
63,0.140035,0.138892,0.148229333
64,0.144331,0.139291,0.150096667
65,0.148613667,0.133038333,0.154412
66,0.154208,0.145871333,0.156794333
67,0.155732333,0.144088,0.160341333
68,0.159191333,0.155091667,0.167136333
69,0.151413,0.130198,0.159565333
70,0.156057,0.144586333,0.160357
71,0.159149667,0.147526333,0.160357
72,0.134292667,0.116253333,0.154637
73,0.153066333,0.1274,0.182721333
74,0.170426667,0.143732,0.18945
75,0.179661,0.148561667,0.195409
76,0.193365,0.176826667,0.206176667
77,0.202166333,0.191186,0.212207
78,0.077870333,0.059322967,0.100991033
79,0.0904652,0.072081767,0.102437067
80,0.101198933,0.079196533,0.113202367
81,0.147808333,0.133556,0.161034
82,0.155999667,0.135333667,0.165330667
83,0.163770667,0.145500333,0.169489
84,0.158127667,0.132491333,0.184008667
85,0.175922667,0.145413667,0.184008667
86,0.185329,0.168444,0.198473
87,0.101227433,0.080893067,0.110206767
88,0.108524333,0.099075033,0.1196887
89,0.114020267,0.1068957,0.127558
90,0.180537333,0.149937667,0.202121
91,0.196040333,0.166731333,0.213077667
92,0.206980667,0.198119,0.216923
93,0.177911,0.156072667,0.195828667
94,0.191272333,0.17171,0.205874
95,0.201675333,0.187978333,0.217616333
96,0.0710167,0.059765133,0.080496667
97,0.078627367,0.068707133,0.087383367
98,0.083746,0.071797767,0.0904309
99,0.088965633,0.081496767,0.099816433
100,0.094049833,0.083567833,0.1017691
101,0.098884567,0.089756533,0.1042341
102,0.159162,0.129223667,0.172304667
103,0.168869667,0.145901333,0.174178667
104,0.173044333,0.161478667,0.175069
105,0.1014142,0.082300267,0.105328433
106,0.104489033,0.0980305,0.1076576
107,0.106915467,0.100484167,0.108905933
108,0.1028549,0.101822667,0.105411167
