gen,AVG,MIN,MAX
0,0.050499033,0.0151561,0.074840633
1,0.065612467,0.044843767,0.075024667
2,0.071971733,0.060224167,0.075024667
3,0.073890933,0.060225667,0.084759333
4,0.079520433,0.0697411,0.091561733
5,0.087175367,0.0746155,0.093256167
6,0.087014733,0.075335967,0.096382867
7,0.094669833,0.0836922,0.1003208
8,0.100573733,0.090998867,0.1091128
9,0.109214,0.095079533,0.117999667
10,0.116542,0.105237633,0.127542667
11,0.123741333,0.113693333,0.130222333
12,0.122745,0.112500667,0.128802333
13,0.127425667,0.121018667,0.132582
14,0.132092667,0.124670667,0.137645333
15,0.130413333,0.122262333,0.134515667
16,0.133871,0.128041,0.137158333
17,0.137219667,0.133209,0.141533333
18,0.117667,0.106807033,0.138038667
19,0.134158,0.117350667,0.148151333
20,0.149207667,0.130662667,0.167609333
21,0.153398667,0.133285333,0.167205667
22,0.164475333,0.151207333,0.171552
23,0.172936,0.160468333,0.182391333
24,0.0724316,0.064959033,0.0785614
25,0.076711033,0.0712411,0.0808639
26,0.079556667,0.074109833,0.084010267
27,0.113305,0.106287467,0.118506667
28,0.118092333,0.113518667,0.121645333
29,0.121079333,0.116682667,0.124203
30,0.141162,0.134623333,0.145641333
31,0.145175,0.140879667,0.149502
32,0.148969333,0.143519,0.152235333
33,0.172018667,0.160413,0.180128
34,0.181956333,0.171279,0.194808333
35,0.192623,0.178092333,0.203426667
36,0.0867737,0.079764833,0.0912021
37,0.090115533,0.083975267,0.0938911
38,0.0928157,0.090200967,0.094541433
39,0.065530833,0.062076167,0.068618833
40,0.067538333,0.0651383,0.069779733
41,0.0694795,0.0668162,0.071839167
42,0.188361,0.174449,0.201647333
43,0.200174667,0.184763667,0.206058333
44,0.209924333,0.199645333,0.224512
45,0.10624,0.102246667,0.108847667
46,0.109004667,0.105667367,0.113491333
47,0.111601333,0.1083,0.113788
48,0.192595333,0.178679667,0.20594
49,0.203093667,0.190479667,0.216948667
50,0.214729667,0.199816333,0.227172667
51,0.065401733,0.062018533,0.067461133
52,0.066978667,0.064500067,0.069028333
53,0.068229133,0.065687433,0.069258533
54,0.056766633,0.055735867,0.0578051
55,0.057630933,0.0564373,0.058621333
56,0.0585851,0.057597233,0.060005867
57,0.0848135,0.080708233,0.086957
58,0.0862528,0.0841558,0.088273967
59,0.088133167,0.0851341,0.0930318
60,0.121064,0.115826333,0.122890333
61,0.123321,0.119128333,0.126775667
62,0.125657333,0.12183,0.127449333
63,0.167251667,0.164087333,0.17068
64,0.169313333,0.166698,0.172367333
65,0.171752333,0.167745333,0.175430667
66,0.173929667,0.170363,0.175545
67,0.175732667,0.172367333,0.178678
68,0.177524,0.175100333,0.181134333
69,0.147474333,0.143936333,0.150457333
70,0.149656,0.146605333,0.151941
71,0.151170333,0.147825,0.153736667
72,0.202017333,0.192727667,0.209145
73,0.211543667,0.201098,0.225165
74,0.222552,0.209596333,0.230945333
75,0.222457667,0.208247667,0.231297333
76,0.232828667,0.217904333,0.250538
77,0.245709,0.230447667,0.259735667
78,0.097719833,0.093073467,0.1005269
79,0.099774367,0.095714233,0.101399733
80,0.1009857,0.098745933,0.102218733
81,0.205392667,0.196081333,0.213308667
82,0.212253,0.205729667,0.222487333
83,0.219997,0.21067,0.232896333
84,0.218878333,0.208542,0.227485
85,0.226860333,0.21744,0.235488
86,0.234114333,0.224370333,0.243313
87,0.109498,0.105588,0.112455667
88,0.111619333,0.109490667,0.113032
89,0.112887,0.110226333,0.114081333
90,0.243945,0.237382,0.251582
91,0.249922,0.242462,0.258440333
92,0.256867667,0.249361333,0.265804
93,0.24139,0.234325,0.249747667
94,0.247396,0.239392667,0.254652333
95,0.254591,0.246937667,0.262281333
96,0.068801367,0.0651546,0.070905167
97,0.070382233,0.068305033,0.0711743
98,0.071386567,0.069998233,0.073614467
99,0.072610133,0.070683167,0.074657533
100,0.074022967,0.071974767,0.075231567
101,0.075154833,0.072908267,0.0761429
102,0.164553667,0.157841333,0.170251667
103,0.168524333,0.162799667,0.171154333
104,0.171123667,0.167111667,0.175504667
105,0.076337133,0.075430533,0.077155467
106,0.077111167,0.076403267,0.078051467
107,0.0779123,0.076802333,0.079822233
108,0.075721667,0.073970867,0.077315233
109,0.077026567,0.074990667,0.0775758
110,0.077753367,0.076986433,0.0794401
111,0.0774862,0.075480967,0.0806995
112,0.078776467,0.076294133,0.080921567
113,0.0803067,0.077662467,0.081574233
114,0.220446333,0.200459333,0.230923333
115,0.230757333,0.222864,0.236889333
116,0.237571,0.230554333,0.244253333
117,0.214059333,0.202653,0.221911667
118,0.221682,0.210854333,0.234565333
119,0.231375,0.216681,0.242961333
120,0.138304,0.131290333,0.143524667
121,0.14264,0.138284667,0.146382
122,0.145762333,0.141615,0.14897
123,0.110442333,0.108553333,0.112115
124,0.111552667,0.109409333,0.112353333
125,0.112613,0.111347333,0.114132
126,0.166323667,0.162211667,0.168908333
127,0.168791,0.165251333,0.17061
128,0.170569,0.167797667,0.173125
129,0.0788316,0.077062833,0.079377467
130,0.0795304,0.078800667,0.0810616
131,0.0801976,0.079377467,0.0811798
132,0.209101,0.201443333,0.219169
133,0.217238667,0.206093333,0.224165667
134,0.223554667,0.217708,0.228905333
135,0.061266267,0.058762767,0.062916833
136,0.062659667,0.060992767,0.064077233
137,0.0635096,0.062438033,0.0648537
138,0.234199667,0.228105,0.242171667
139,0.240378333,0.232491667,0.245535333
140,0.245416333,0.240111333,0.25219
141,0.255803667,0.25057,0.259920667
142,0.261413,0.255361,0.267974333
143,0.267087333,0.259874,0.273493333
144,0.271360667,0.260804,0.283138
145,0.280110333,0.270504333,0.287944
146,0.287108,0.277429667,0.294053
147,0.288826667,0.276068667,0.297972333
148,0.296703333,0.286891667,0.305390667
149,0.303684333,0.292669333,0.310193333
150,0.276883,0.266043333,0.282456333
151,0.280794333,0.275905333,0.286646667
152,0.284872667,0.278118333,0.289927333
153,0.1056518,0.101679,0.108304
154,0.107536333,0.105514667,0.109079333
155,0.108850333,0.106917333,0.111540333
156,0.252678667,0.242484667,0.258201
157,0.257317667,0.249504333,0.261355667
158,0.262160333,0.255687333,0.26766
159,0.0638623,0.061742033,0.0682197
160,0.065218133,0.0628859,0.069013767
161,0.067953833,0.0647062,0.0716949
162,0.313406333,0.263861,0.320627333
163,0.3208,0.316650667,0.326247333
164,0.326012667,0.319266333,0.334118
165,0.225880333,0.218410667,0.228823
166,0.23015,0.226318667,0.235938667
167,0.23523,0.228549,0.244536333
168,0.094807833,0.092645233,0.096632033
169,0.0963155,0.0940765,0.097509267
170,0.097379,0.095759033,0.099054633
171,0.064709033,0.0629577,0.066033133
172,0.0656148,0.0640255,0.066708733
173,0.066452967,0.065102367,0.067551933
174,0.085333533,0.082112133,0.0904183
175,0.089524933,0.0843042,0.091381567
176,0.0910323,0.090389033,0.092043233
177,0.1076913,0.105925,0.109332233
178,0.108978067,0.107140533,0.111031567
179,0.110518633,0.108529667,0.112397133
180,0.238540667,0.232053667,0.245933667
181,0.245232333,0.238213,0.251178
182,0.250932333,0.244752333,0.259224333
183,0.144454667,0.137862,0.146565
184,0.146192,0.143656667,0.148248667
185,0.148322,0.145899667,0.150807667
186,0.141845,0.138434,0.143638
187,0.143546,0.140165,0.145439
188,0.145172333,0.142404,0.147092
189,0.114210667,0.111777,0.115126
190,0.115217,0.113770667,0.115923333
191,0.115978,0.115,0.116932
192,0.261027,0.249385667,0.269207
193,0.268550667,0.257781,0.280752
194,0.277084333,0.267761333,0.288186333
195,0.258807,0.244545333,0.266065667
196,0.266330333,0.255900667,0.276054
197,0.273505667,0.262051333,0.279998333
198,0.297812667,0.290188333,0.303596667
199,0.303337,0.295725667,0.309451333
200,0.309559333,0.302247,0.317732333
201,0.272101333,0.258637333,0.280085667
202,0.279642,0.270782333,0.287046333
203,0.286245667,0.276037667,0.293043
204,0.134044667,0.129037333,0.139833
205,0.138804333,0.132342333,0.141522
206,0.141603333,0.138274,0.144085333
207,0.143219667,0.140269333,0.146096
208,0.145271333,0.142098333,0.146481667
209,0.146722333,0.145103,0.148566333
210,0.278118333,0.268999,0.285238667
211,0.283742333,0.277266333,0.288512333
212,0.288426333,0.282378667,0.293880667
213,0.259238667,0.245955667,0.266879
214,0.266388667,0.256184667,0.274665
215,0.272235333,0.265633667,0.277945
216,0.156858333,0.152971667,0.159306333
217,0.158717667,0.155970667,0.159930667
218,0.159902333,0.158508,0.162142667
219,0.293282,0.285940667,0.299840667
220,0.300498,0.291937333,0.307273333
221,0.306290667,0.300110667,0.310844667
222,0.298621667,0.290584,0.304706
223,0.304524,0.297465,0.308790333
224,0.307842,0.305171667,0.313107
225,0.302743333,0.289197667,0.309851
226,0.309397333,0.301971667,0.314308667
227,0.313753667,0.309412667,0.319116333
228,0.314262667,0.303691667,0.322350667
229,0.319384,0.309343667,0.324509
230,0.323840667,0.320059,0.327989667
231,0.047986267,0.046288633,0.048913133
232,0.048746,0.047872833,0.049420433
233,0.0494515,0.0485359,0.050665
234,0.092039233,0.089436533,0.093299233
235,0.093366167,0.091760267,0.0948765
236,0.0946664,0.093018333,0.096139567
237,0.163631667,0.159286667,0.168573333
238,0.167376667,0.163223,0.170712333
239,0.169795333,0.165520667,0.171031
240,0.056083333,0.0548884,0.0569224
241,0.056806933,0.0556557,0.0578944
242,0.057636167,0.056520233,0.0585525
243,0.100437367,0.097130867,0.101653033
244,0.1018073,0.099667367,0.103799867
245,0.1031208,0.101653033,0.104650333
246,0.0612501,0.059312533,0.0620291
247,0.0619126,0.0607311,0.062829033
248,0.0625252,0.061573133,0.063293467
249,0.148701667,0.145842333,0.152035667
250,0.150881333,0.147151,0.152846333
251,0.152649667,0.149498333,0.155007667
252,0.220973333,0.211334667,0.228012667
253,0.228045667,0.217788,0.235701
254,0.234267,0.226938,0.240733
255,0.167539667,0.162999333,0.17054
256,0.170124,0.167142333,0.171500667
257,0.171814333,0.169934,0.173561333
258,0.066119633,0.064621033,0.067085
259,0.066866267,0.065614833,0.067650167
260,0.0676744,0.066441633,0.068966367
261,0.084857767,0.082935767,0.085681667
262,0.0856551,0.0844509,0.086554733
263,0.0863441,0.085546333,0.0894362
264,0.105751867,0.103744233,0.108927433
265,0.1079986,0.104447233,0.109096133
266,0.1090585,0.107003767,0.110316367
267,0.282312,0.276676667,0.291163333
268,0.290254333,0.279800333,0.299905333
269,0.297466333,0.288926667,0.304512
270,0.287786667,0.276234,0.293051
271,0.293638667,0.282666333,0.301338333
272,0.299893333,0.291951667,0.305721667
273,0.149407333,0.144151333,0.150911667
274,0.151023333,0.149313333,0.152663333
275,0.152383667,0.150332,0.153932333
276,0.067525033,0.0658051,0.068644233
277,0.068318467,0.067059433,0.069060767
278,0.069140933,0.0682692,0.070354733
279,0.261609,0.252492333,0.273186667
280,0.270774667,0.2604,0.280922333
281,0.279510333,0.271855667,0.286337333
282,0.180482667,0.177345333,0.181878667
283,0.182038,0.179934667,0.184054333
284,0.183780667,0.181110667,0.185117667
285,0.235505333,0.227029,0.243788333
286,0.242576333,0.235601333,0.248522333
287,0.248422,0.239556333,0.256531333
288,0.282791333,0.269454333,0.293637667
289,0.289965667,0.280505667,0.297504667
290,0.296502667,0.286476,0.301587
291,0.25833,0.250258,0.263872667
292,0.263554333,0.25795,0.267953
293,0.267513333,0.263148667,0.272099
294,0.140754667,0.136698,0.142801
295,0.142462333,0.138861,0.144091
296,0.144093667,0.141997333,0.145711667
297,0.0746607,0.073287133,0.075662933
298,0.075622267,0.074477033,0.076617667
299,0.076296867,0.0754372,0.077259533
300,0.295626333,0.287962,0.303978
301,0.303019,0.294833333,0.311321333
302,0.309473667,0.298907667,0.312422
303,0.171596,0.163945,0.174106667
304,0.173514,0.171269,0.175728
305,0.174975667,0.172674,0.176502333
306,0.147242667,0.144271667,0.148519
307,0.148378667,0.146543,0.149368333
308,0.149451333,0.147658333,0.151545667
309,0.101656767,0.1003612,0.1025681
310,0.102863,0.1008436,0.104735167
311,0.1042379,0.102468433,0.105212267
312,0.285866,0.275672,0.293005667
313,0.292507,0.286285667,0.296418333
314,0.297394667,0.291534667,0.305205
315,0.320181,0.312369333,0.329399333
316,0.327457667,0.319657333,0.334641
317,0.33391,0.325350667,0.345225333
318,0.256623667,0.240352667,0.272574667
319,0.267884333,0.253442667,0.275005333
320,0.274812,0.265542,0.280252333
321,0.288683,0.282489,0.298053667
322,0.295373,0.28476,0.300265333
323,0.299424667,0.292261333,0.303874333
324,0.336698667,0.331005667,0.340810667
325,0.340676333,0.334397333,0.345967667
326,0.345233,0.340877333,0.349004667
327,0.0655146,0.0638309,0.066914633
328,0.066536667,0.065290133,0.067338767
329,0.067251233,0.066400633,0.067903333
330,0.323322667,0.312530667,0.328877
331,0.328131,0.323848333,0.331940333
332,0.331502,0.326474333,0.336405
333,0.325638667,0.319615333,0.328707667
334,0.329135333,0.324212333,0.333431667
335,0.332502,0.328369,0.336851667
336,0.077578633,0.075905333,0.078753367
337,0.078391867,0.077561233,0.079265533
338,0.079212567,0.078039667,0.0802376
339,0.055506,0.054656767,0.0562213
340,0.056168967,0.055053633,0.0572351
341,0.0569273,0.056116033,0.057786267
342,0.312740667,0.298653667,0.317992667
343,0.318992667,0.310878667,0.323535667
344,0.323937333,0.318109,0.328181667
345,0.063644767,0.0617322,0.064394767
346,0.0643481,0.063288067,0.0650288
347,0.0650811,0.0643689,0.0661222
348,0.058116733,0.057044967,0.0588589
349,0.0586316,0.057857233,0.059188567
350,0.059127,0.058286267,0.060142433
351,0.330523667,0.322558,0.336624333
352,0.336193333,0.328214333,0.341646333
353,0.341723,0.334992,0.348922667
354,0.085155067,0.082605767,0.086485167
355,0.086185067,0.084944367,0.086936333
356,0.086913067,0.085698167,0.088011633
357,0.270127333,0.266627333,0.275466667
358,0.274284333,0.268762667,0.279582667
359,0.279510333,0.27374,0.285621
360,0.342188,0.335154333,0.348335
361,0.347239333,0.341248667,0.354870667
362,0.352870333,0.344572333,0.362581
363,0.0794463,0.0771118,0.080953033
364,0.0808584,0.078913633,0.082127567
365,0.0818256,0.0802173,0.0827065
366,0.148091667,0.144738333,0.151714333
367,0.150646667,0.147094333,0.152618333
368,0.152321,0.149880667,0.154249
369,0.063474067,0.0607442,0.0669687
370,0.0660907,0.0619847,0.0691742
371,0.068658433,0.064041167,0.069785567
372,0.263327,0.243554667,0.281987
