gen,AVG,MIN,MAX
0,0.226017667,0.162519667,0.282384333
1,0.257763667,0.208403,0.282384333
2,0.274694667,0.251237333,0.292071667
3,0.045040867,0.034048367,0.057487333
4,0.0522279,0.042420767,0.0602491
5,0.058661967,0.0486918,0.065855933
6,0.178344667,0.147165,0.225807
7,0.214935667,0.174049333,0.225807
8,0.226725333,0.215098333,0.232763333
9,0.240970333,0.234644,0.245753667
10,0.246180667,0.238547,0.254874333
11,0.252668,0.244023,0.262774333
12,0.261694333,0.246126,0.272130667
13,0.271294667,0.256296333,0.278623
14,0.277747333,0.269251333,0.285450333
15,0.277705333,0.272186667,0.282395333
16,0.281552,0.277103667,0.288572
17,0.287479667,0.280935,0.293864
18,0.106344333,0.102248267,0.110513
19,0.110254,0.104906367,0.118568333
20,0.118003667,0.108893333,0.126246
21,0.092548467,0.0883014,0.095761667
22,0.095643733,0.0919281,0.098596267
23,0.098814833,0.095401267,0.109558333
24,0.174989333,0.158616667,0.184030333
25,0.184016667,0.171236,0.196021
26,0.190428,0.18339,0.197939667
27,0.045711867,0.0403193,0.0486029
28,0.047933833,0.044658967,0.0507081
29,0.0499345,0.047551367,0.0521098
30,0.051761867,0.049023967,0.053552833
31,0.053474633,0.051041,0.055720933
32,0.054767533,0.052651967,0.0561205
33,0.225471,0.216014333,0.235994
34,0.23524,0.223304333,0.247283
35,0.24328,0.234465,0.252929333
36,0.217803,0.208065,0.224015
37,0.224506667,0.217741667,0.234332
38,0.232962,0.223427333,0.240415333
39,0.0496161,0.047013633,0.0514033
40,0.051294733,0.049377933,0.0535269
41,0.053098533,0.050733667,0.0546193
42,0.239418333,0.228942667,0.247482667
43,0.246200333,0.236950667,0.254213667
44,0.252508333,0.246692667,0.256768333
45,0.242419667,0.231028333,0.252253
46,0.250798667,0.240451333,0.257909333
47,0.256806667,0.248234333,0.262585
48,0.131288,0.127890333,0.135749333
49,0.134177667,0.130598667,0.138117333
50,0.137874667,0.132851333,0.142496667
51,0.103750333,0.0991267,0.108968333
52,0.1074922,0.1022237,0.1098701
53,0.1092323,0.106041333,0.111164433
54,0.0679084,0.065921633,0.069339633
55,0.069158067,0.067364533,0.070418467
56,0.070211967,0.0684846,0.072288833
57,0.152397,0.148458,0.155504
58,0.154608667,0.151298,0.156385667
59,0.156362,0.153221333,0.158846
60,0.054419833,0.0519455,0.055189433
61,0.055372233,0.054227767,0.056304567
62,0.056284933,0.0550766,0.057584067
63,0.075610933,0.0729288,0.076774333
64,0.076353467,0.075421,0.077459167
65,0.077306667,0.076158233,0.0784325
66,0.093830333,0.089948167,0.0971642
67,0.0963418,0.093796567,0.0986082
68,0.097916067,0.095866733,0.100417767
69,0.1015988,0.0989708,0.102960167
70,0.102981,0.1007228,0.104886433
71,0.104381433,0.102566167,0.105393733
72,0.107818067,0.106021633,0.109296767
73,0.1089241,0.107728367,0.110309833
74,0.109947133,0.1083071,0.110951833
75,0.150456,0.148011,0.154464667
76,0.152772333,0.148183333,0.156473
77,0.155012,0.151572667,0.157248667
78,0.164405333,0.160098333,0.168068
79,0.167303667,0.163492,0.170463667
80,0.169589667,0.165609,0.171634667
81,0.066996933,0.063027733,0.069447267
82,0.068109433,0.065982933,0.069816033
83,0.0693381,0.068115867,0.070281067
84,0.201824,0.191939333,0.211560333
85,0.211310667,0.199967667,0.219535667
86,0.219801667,0.210383333,0.232279667
87,0.146111,0.140619333,0.14937
88,0.148958,0.144849333,0.150735
89,0.150215333,0.147209333,0.152446333
90,0.171215333,0.16848,0.173108
91,0.173014,0.169719,0.175484333
92,0.174466333,0.172427333,0.176159
93,0.198601333,0.189627333,0.211728667
94,0.208827,0.198075667,0.217093
95,0.218371,0.207171333,0.229939
96,0.245391,0.226978,0.258023333
97,0.256065333,0.245223333,0.260980333
98,0.261930667,0.254556333,0.267746667
99,0.263934333,0.250398667,0.275029
100,0.272761333,0.260470333,0.280176333
101,0.279459,0.271880333,0.285493
102,0.135753667,0.131021333,0.138612667
103,0.13808,0.134145,0.139395333
104,0.139370667,0.137449,0.140602
105,0.290952,0.284406667,0.297633
106,0.298097667,0.289300667,0.310052667
107,0.30851,0.295433,0.315299
108,0.267658333,0.263103,0.280614333
109,0.276644,0.265248667,0.283901333
110,0.283631333,0.277054333,0.289183667
111,0.0943188,0.091120233,0.096494867
112,0.0958867,0.093507533,0.0979935
113,0.0975627,0.095020567,0.098860567
114,0.0769519,0.0749031,0.079005733
115,0.0781718,0.076324167,0.0792979
116,0.079260667,0.077872833,0.0807025
117,0.093663533,0.091784467,0.095109733
118,0.094754633,0.093062333,0.096329033
119,0.095971067,0.094484467,0.0976016
120,0.127675667,0.124831333,0.12965
121,0.129585,0.127492667,0.132598
122,0.131978667,0.129031,0.138438
123,0.176731667,0.168418667,0.182787
124,0.181738667,0.172689333,0.185531333
125,0.184594,0.179156333,0.186822
126,0.063879733,0.062487633,0.0650752
127,0.064892333,0.063645633,0.065906267
128,0.065657233,0.064546367,0.066480467
129,0.177978667,0.174827,0.182183
130,0.180738,0.177165333,0.183573
131,0.182962,0.179203667,0.185398667
132,0.230568,0.221091667,0.237887333
133,0.237395,0.230349333,0.243628333
134,0.244807333,0.235922333,0.251011333
135,0.067560833,0.0638863,0.068988267
136,0.068784767,0.0672719,0.0692507
137,0.069260867,0.068797,0.070152567
138,0.262233,0.256076667,0.269195333
139,0.268596667,0.261191667,0.278766333
140,0.276748,0.267691,0.283378
141,0.065586533,0.062983333,0.0665842
142,0.0666537,0.0647984,0.0677652
143,0.067525333,0.0663195,0.068348667
144,0.239056333,0.229850667,0.247884333
145,0.245477333,0.238065333,0.253707667
146,0.252474333,0.244180333,0.258095333
147,0.064323367,0.062606033,0.0652428
148,0.065271333,0.064012233,0.067159233
149,0.066394567,0.0647896,0.067437433
150,0.120990667,0.116611333,0.123380333
151,0.122485667,0.119407667,0.123662667
152,0.123362667,0.122186667,0.124633
153,0.225932333,0.217460333,0.233880667
154,0.233164333,0.224516,0.245650667
155,0.241233333,0.230902333,0.249390333
156,0.244338667,0.239784333,0.251089667
157,0.251116,0.243072667,0.258159667
158,0.257228333,0.248932667,0.265668667
159,0.288961,0.280903667,0.296853333
160,0.294894333,0.28781,0.300815667
161,0.300427333,0.294049,0.305803
162,0.061879367,0.058512,0.0633186
163,0.0630252,0.061605033,0.063913367
164,0.063771433,0.062776333,0.064357
165,0.246990667,0.240551667,0.256538667
166,0.255528333,0.245027,0.263543333
167,0.263342,0.254563333,0.270982333
168,0.058029033,0.056363967,0.059053533
169,0.058703733,0.057600467,0.059579567
170,0.059430533,0.0585499,0.0607169
171,0.043555833,0.042654333,0.044413333
172,0.0442793,0.043312433,0.045187467
173,0.0451204,0.044179167,0.045930967
174,0.106467067,0.103642833,0.108527033
175,0.107985367,0.106691667,0.109231367
176,0.109192833,0.107545033,0.110640667
177,0.113430667,0.110492,0.115031667
178,0.114878667,0.113101,0.116172667
179,0.116017,0.114160333,0.11753
180,0.16016,0.157381667,0.162474
181,0.162237,0.159207667,0.164616333
182,0.164022,0.161821333,0.165267667
183,0.128639667,0.126165,0.130137
184,0.130072,0.128027333,0.132207
185,0.131937667,0.12897,0.134739
186,0.071307533,0.0700345,0.0722611
187,0.072088467,0.071017767,0.0730847
188,0.072829533,0.071754967,0.0739816
189,0.109235,0.108029667,0.110699333
190,0.110369333,0.108516,0.111667
191,0.111530333,0.109946667,0.112933333
192,0.199232,0.195731333,0.201869333
193,0.200905333,0.198477333,0.202567333
194,0.202238333,0.199911,0.203892667
195,0.073706967,0.072902067,0.074383633
196,0.074096433,0.073484133,0.074725067
197,0.074790433,0.0738991,0.076080833
198,0.244601,0.238557667,0.256989
199,0.253814333,0.240283,0.263594333
200,0.262107,0.249906,0.267781667
201,0.0695106,0.067259967,0.0710823
202,0.070712833,0.068826133,0.072205533
203,0.071940233,0.070332033,0.0739902
204,0.217153333,0.205515333,0.224575333
205,0.224563333,0.215252,0.235838667
206,0.231486,0.223623667,0.238687333
207,0.166519333,0.157533,0.170414
208,0.170109667,0.160301,0.171594
209,0.171520667,0.169347333,0.174873
210,0.199392,0.195796667,0.201009
211,0.201044333,0.197349,0.203306
212,0.202726667,0.200006,0.204942
213,0.219814667,0.208947667,0.233728667
214,0.230945,0.215862333,0.240711667
215,0.23818,0.229488333,0.246253667
216,0.170692,0.166856667,0.173022333
217,0.173139333,0.170322333,0.177868
218,0.176585333,0.171794667,0.181395667
219,0.073657267,0.071344467,0.074567833
220,0.074413533,0.0732768,0.075496067
221,0.075011767,0.074215933,0.075692033
222,0.080547367,0.079094433,0.081084633
223,0.080865833,0.079618667,0.081453833
224,0.0814899,0.080889433,0.083524933
225,0.078676767,0.076969433,0.080483533
226,0.079859533,0.0774963,0.081159433
227,0.0807616,0.079519,0.0815055
228,0.219379,0.212606333,0.226022667
229,0.226584333,0.219193333,0.233727
230,0.234672667,0.223522667,0.242288667
231,0.227736,0.213328333,0.234887667
232,0.235489,0.226431333,0.243933333
233,0.243674667,0.235225333,0.254621
234,0.163095667,0.158669,0.165280667
235,0.164882667,0.162477,0.16569
236,0.165949667,0.164733,0.1673
237,0.191114667,0.187998667,0.193628333
238,0.193095667,0.190320333,0.195215333
239,0.194555,0.192133,0.196252667
240,0.198987333,0.196514,0.201612
241,0.200686333,0.198277667,0.205473667
242,0.202607667,0.200195333,0.205473667
243,0.076612933,0.075643967,0.0771313
244,0.077219033,0.076512167,0.078469567
245,0.0780367,0.077070367,0.0789239
246,0.248443333,0.241700333,0.256793667
247,0.255586333,0.246791667,0.266585333
248,0.263740667,0.255227667,0.270579667
249,0.238562333,0.228059,0.250801333
250,0.247728667,0.235032667,0.254544
251,0.256714667,0.247185667,0.266825333
252,0.0668443,0.064435633,0.0677549
253,0.067680633,0.0668073,0.068857367
254,0.068504733,0.0671382,0.0695315
255,0.253482333,0.244833667,0.260970333
256,0.260533667,0.253136667,0.268171333
257,0.268576,0.259662,0.278063333
258,0.281476333,0.268545333,0.288796
259,0.289493,0.280058,0.299752667
260,0.295255,0.288210333,0.301329667
261,0.26431,0.252829667,0.270105333
262,0.269415,0.261849333,0.274977667
263,0.274559667,0.26849,0.280843333
264,0.274429,0.267462,0.282239333
265,0.281066,0.272603333,0.28764
266,0.286854333,0.281190333,0.291645667
267,0.134778,0.131664333,0.136133
268,0.137033667,0.134627,0.146505
269,0.1412,0.135904333,0.147670667
270,0.065093533,0.059717267,0.0668974
271,0.066630567,0.065112833,0.067687833
272,0.067379967,0.066357733,0.069521767
273,0.106641967,0.105268133,0.109032
274,0.108272433,0.106575833,0.110544667
275,0.109734333,0.107877833,0.111534
276,0.067471,0.0660358,0.068103633
277,0.068120433,0.067619733,0.068545333
278,0.068413133,0.068047633,0.0687642
279,0.136135,0.134546,0.137454
280,0.137507,0.135742,0.139944667
281,0.139300667,0.136399333,0.140811
282,0.225858667,0.220302,0.236186333
283,0.233529333,0.222869333,0.244634
284,0.241609,0.233142667,0.247748
285,0.0786088,0.077337867,0.080101367
286,0.0795942,0.078293667,0.080744233
287,0.080517433,0.078898533,0.081555433
288,0.0887449,0.087774533,0.0896097
289,0.0894559,0.088384033,0.090054767
290,0.090182133,0.088871533,0.091451233
291,0.256663667,0.250039333,0.263149667
292,0.262020667,0.256781333,0.270992
293,0.269219333,0.258508333,0.274674
294,0.065700333,0.062842833,0.067157333
295,0.0669609,0.0649145,0.0685255
296,0.067885167,0.066458133,0.0685255
297,0.0640648,0.062622533,0.065427
298,0.065144933,0.063974033,0.0659054
299,0.065745833,0.064790233,0.0665259
300,0.0538624,0.052888833,0.054726633
301,0.0544336,0.053546933,0.054977667
302,0.0549379,0.054229733,0.0564681
303,0.076722333,0.0753862,0.078575267
304,0.077672833,0.076258033,0.0792131
305,0.078911467,0.076997267,0.0795176
306,0.113058333,0.111033667,0.115364
307,0.114560333,0.112287333,0.115973
308,0.115841333,0.113336333,0.117392667
309,0.070928567,0.0694747,0.072435167
310,0.071858433,0.0705765,0.0728826
311,0.0727635,0.071273,0.0745002
312,0.251867333,0.241749,0.265405667
313,0.261897,0.248791333,0.267969667
314,0.269463,0.265002667,0.278769
315,0.233099333,0.221907333,0.241346
316,0.239385,0.230295,0.244806333
317,0.244776,0.239234,0.249308
318,0.176946,0.173732667,0.179691333
319,0.179246,0.176224,0.181389333
320,0.181132,0.178905,0.182981
321,0.183508,0.180591333,0.186655
322,0.185584667,0.182397333,0.187847333
323,0.187380333,0.184873667,0.189119
324,0.055837833,0.054118333,0.056475167
325,0.056393167,0.055189367,0.057267367
326,0.056907567,0.056267733,0.057666633
327,0.21209,0.205722,0.220064333
328,0.219712667,0.210456667,0.225313667
329,0.226281667,0.218986333,0.233677667
330,0.266445,0.255575667,0.275861
331,0.274218333,0.265228,0.280939333
332,0.280818,0.272428,0.286450667
333,0.111969667,0.109366,0.113264
334,0.113247333,0.111141,0.114282
335,0.11416,0.112781333,0.115336333
336,0.226090333,0.216740667,0.233129
337,0.232434,0.222363333,0.238298333
338,0.238694667,0.231467667,0.251956333
339,0.179273333,0.17484,0.181135667
340,0.180802333,0.178345,0.182324
341,0.18238,0.180777667,0.184730333
342,0.279926,0.270662333,0.287641667
343,0.287456,0.276897333,0.295093667
344,0.293761333,0.284946667,0.299176667
345,0.063760533,0.061049933,0.066453467
346,0.065274867,0.063716767,0.066969467
347,0.0665901,0.064224433,0.067655867
348,0.180976,0.17807,0.183035667
349,0.18335,0.180365333,0.186882
350,0.185976,0.182433667,0.189259333
351,0.242575333,0.235506667,0.248268
352,0.248784667,0.240950667,0.257027
353,0.255011,0.246383,0.260770333
354,0.177,0.170242,0.180781
355,0.180098333,0.176128,0.181681
356,0.181761667,0.179397333,0.183970667
357,0.064005467,0.0623429,0.064446467
358,0.064589133,0.063473933,0.065612633
359,0.065103867,0.064010333,0.065931067
360,0.151234333,0.148162333,0.152188
361,0.152542667,0.150537667,0.154303333
362,0.154095,0.151614333,0.156052333
363,0.228415,0.220735,0.238013667
364,0.236065667,0.227559667,0.242778667
365,0.242581333,0.233242333,0.251056
366,0.236229333,0.223632667,0.244761
367,0.244154333,0.233934333,0.252976
368,0.251688333,0.244185,0.257240333
369,0.268643333,0.259914667,0.276516
370,0.276185667,0.266924333,0.28327
371,0.282975667,0.274557,0.290939333
372,0.0592458,0.057960833,0.060013567
373,0.059919067,0.0590399,0.0609151
374,0.060595667,0.059542633,0.061742467
375,0.258330333,0.250343667,0.269791
376,0.266712333,0.256257667,0.273931
377,0.274485667,0.267512667,0.281274
378,0.280898333,0.271196333,0.289076333
379,0.287406,0.277902667,0.294961333
380,0.294286667,0.285175667,0.302156333
381,0.158597333,0.152091667,0.161633667
382,0.16114,0.157532667,0.163717333
383,0.163223667,0.160091,0.166002
384,0.078335333,0.075842633,0.0794798
385,0.079482233,0.077808867,0.0806763
386,0.080632333,0.0792767,0.081819733
387,0.247842,0.242147667,0.255124
388,0.25385,0.24667,0.26006
389,0.259601,0.253599667,0.265542
390,0.289891,0.274743333,0.298426333
391,0.298096,0.2906,0.305063
392,0.304180667,0.296473333,0.311200667
393,0.165547333,0.162643,0.168264667
394,0.167594333,0.164490667,0.169533
395,0.169635667,0.167207667,0.172600667
396,0.0770923,0.075195267,0.0796007
397,0.079055733,0.077224133,0.0806219
398,0.0804426,0.078238033,0.081657033
399,0.199163667,0.193545,0.209366667
400,0.206637333,0.196919333,0.212415667
401,0.212661,0.201947333,0.221561
402,0.071536367,0.069369733,0.073993
403,0.073073633,0.071008433,0.0752293
404,0.074332767,0.072263333,0.075336767
405,0.213760333,0.203066333,0.228172333
406,0.222331333,0.213275667,0.230578667
407,0.228889667,0.218458333,0.235761667
408,0.0951903,0.092617967,0.097507267
409,0.0967731,0.0946156,0.098306667
410,0.097907767,0.0964538,0.099053733
411,0.137657667,0.135169667,0.138777
412,0.138788667,0.137448,0.140647667
413,0.139953333,0.137509,0.142171667
414,0.065066267,0.0636782,0.0657423
415,0.0656382,0.0648428,0.0663021
416,0.066225433,0.065400233,0.067276933
417,0.110748333,0.109254333,0.11157
418,0.111573667,0.109814667,0.112812
419,0.11251,0.111141333,0.113647667
420,0.209812,0.204331333,0.217984333
421,0.216700667,0.207029,0.221491333
422,0.220370333,0.216120333,0.222807667
423,0.147174333,0.144848,0.148372333
424,0.148372667,0.146513333,0.150863667
425,0.149752,0.148017,0.151079333
426,0.27852,0.271613,0.285287
427,0.284586667,0.277106333,0.289614667
428,0.290681,0.283677,0.300448667
429,0.059776,0.0577467,0.0611341
430,0.060538533,0.0592498,0.0616135
431,0.0613715,0.059876833,0.062022767
432,0.062893033,0.061878933,0.0638097
433,0.063516567,0.0625577,0.064213867
434,0.064202433,0.0632959,0.065062367
435,0.136666333,0.133714,0.139665
436,0.138556667,0.135565333,0.140962667
437,0.140147667,0.137721,0.142041
438,0.078621333,0.075728233,0.079961767
439,0.079655867,0.078496133,0.0812513
440,0.0804896,0.079259267,0.081746667
441,0.151395,0.147826,0.153301667
442,0.152975,0.149841667,0.153678667
443,0.153591667,0.152674667,0.154220333
444,0.163181333,0.159667667,0.166653667
445,0.164893,0.1623,0.166993
446,0.1665,0.163302667,0.168176333
447,0.071613133,0.070395233,0.072256567
448,0.072188733,0.0713317,0.0734592
449,0.0729097,0.071623267,0.0736762
450,0.069725633,0.068562867,0.071333433
451,0.070643867,0.068995767,0.071357667
452,0.0713758,0.070079367,0.072969667
453,0.166564333,0.163727667,0.169193667
454,0.168303,0.164272667,0.169317667
455,0.169152333,0.167788333,0.169947
456,0.247421667,0.240750333,0.258389
457,0.256874333,0.244918333,0.265156667
458,0.26481,0.256144,0.270721667
459,0.212696667,0.202597333,0.221333333
460,0.222521,0.208394,0.230398667
461,0.230026,0.220382667,0.236629333
462,0.206729667,0.189957667,0.217914
463,0.216886333,0.202647,0.221913667
464,0.221954333,0.216621667,0.227991
465,0.074354,0.071516833,0.076753467
466,0.076128433,0.073704,0.077457133
467,0.077191933,0.0760897,0.078339467
468,0.0660464,0.06523,0.0671793
469,0.0669317,0.0657992,0.067979667
470,0.068190333,0.066638367,0.070292333
471,0.232036667,0.222681333,0.247853333
472,0.242814333,0.228769667,0.249543333
473,0.249748333,0.239527,0.257297
474,0.066582733,0.064753,0.067461167
475,0.067287467,0.066248167,0.068446967
476,0.068150467,0.0670326,0.0688002
477,0.103564,0.102421833,0.1042199
478,0.104088933,0.102991333,0.105399467
479,0.105079233,0.103671767,0.106474333
480,0.056734733,0.055868067,0.057293833
481,0.0572741,0.056122667,0.0578623
482,0.057792367,0.057138933,0.058255467
483,0.067916967,0.066830467,0.068581633
484,0.0685045,0.067558633,0.0691565
485,0.0689841,0.0680905,0.0697178
486,0.251391667,0.246448667,0.258909
487,0.257676667,0.248768667,0.26594
488,0.264561667,0.257088333,0.274013667
489,0.109061333,0.105307,0.111939667
490,0.111104667,0.107816333,0.112122333
491,0.112122,0.110762333,0.11452
492,0.236689667,0.228403333,0.244326667
493,0.244576333,0.234209667,0.250509333
494,0.250692667,0.243866,0.255342333
495,0.070341267,0.0688411,0.071130267
496,0.0710158,0.070004233,0.0715155
497,0.071541167,0.070738633,0.0725758
498,0.057318267,0.0559433,0.058021833
499,0.057990833,0.0568179,0.0588385
500,0.058610067,0.057735733,0.059648533
501,0.111237333,0.109591333,0.112867667
502,0.112306333,0.110334333,0.114187333
503,0.113701667,0.111616333,0.115091333
504,0.254086333,0.243642667,0.261550333
505,0.262044,0.253802333,0.269060667
506,0.268204667,0.260746333,0.274235333
507,0.254012333,0.240856333,0.257005667
