gen,AVG,STD,MIN,MAX
0,0.040252,0.0123789,0.009843737,0.070152633
1,0.058488033,0.00946528,0.032024067,0.0722671
2,0.0707802,0.007509327,0.054017767,0.083855633
3,0.101441633,0.009959773,0.078865867,0.114231
4,0.111403,0.00627872,0.095559433,0.11897
5,0.118585,0.00494958,0.106981433,0.129138
6,0.150029333,0.008656163,0.129440667,0.162959667
7,0.161299333,0.00713174,0.14305,0.173521667
8,0.167926667,0.005617277,0.148264667,0.17607
9,0.173735333,0.005896837,0.143829667,0.179947667
10,0.177949333,0.002906043,0.172376667,0.182905
11,0.181032667,0.003304837,0.174749333,0.188089333
12,0.185622667,0.004781163,0.173986667,0.196471667
13,0.191822667,0.00645667,0.181578667,0.205444
14,0.199404667,0.00662939,0.186346667,0.206023667
15,0.189817667,0.002959563,0.179422,0.194119
16,0.193028333,0.00189677,0.188185,0.194453
17,0.194492667,0.00145276,0.190058333,0.196844333
18,0.172838667,0.00348355,0.16773,0.178534333
19,0.180048333,0.005770413,0.167952,0.190373
20,0.188488,0.005937487,0.175130333,0.199700667
21,0.167857667,0.008984297,0.149706333,0.182461667
22,0.179143333,0.007317017,0.163419667,0.193695667
23,0.187494333,0.008140213,0.162955333,0.202257
24,0.088277633,0.00817965,0.069693333,0.094917533
25,0.094817233,0.004037723,0.080046933,0.105141067
26,0.101141567,0.00664243,0.088286567,0.113847
27,0.160368,0.005365867,0.137008,0.163993
28,0.163929667,0.002188443,0.158286,0.170453333
29,0.166432667,0.00334995,0.161601667,0.173351
30,0.174227,0.003227727,0.167319667,0.179114
31,0.178585667,0.003493047,0.172871667,0.186480667
32,0.182734333,0.00386512,0.177408,0.189746333
33,0.166942333,0.011079247,0.143580667,0.184081
34,0.181286,0.009362167,0.158510667,0.197027667
35,0.192661,0.0085304,0.175947333,0.210742
36,0.0950467,0.008734573,0.0752128,0.109554533
37,0.103333267,0.007734127,0.083389733,0.113735333
38,0.111143,0.00578443,0.099465067,0.119431333
39,0.0833384,0.005533473,0.0680118,0.092736167
40,0.088602967,0.00530043,0.080269667,0.096981267
41,0.094551267,0.00360929,0.083133267,0.0975963
42,0.158575,0.01145342,0.135325,0.175415
43,0.174730667,0.00916731,0.149034333,0.191256333
44,0.184022667,0.0071415,0.166864667,0.196893333
45,0.112234133,0.008306583,0.094387167,0.123860433
46,0.121956433,0.005739963,0.1038277,0.127767233
47,0.1276223,0.003709103,0.118311633,0.135598667
48,0.180276,0.00645464,0.166911333,0.194355333
49,0.190605333,0.007405303,0.175992,0.202476
50,0.202233333,0.00949099,0.189144667,0.224519333
51,0.074785833,0.007243247,0.057539967,0.089290967
52,0.083833933,0.006146653,0.070886333,0.0943115
53,0.092812,0.005122323,0.0805228,0.09968
54,0.080145633,0.00521512,0.0677542,0.0873481
55,0.0857098,0.003756301,0.0791967,0.091519833
56,0.0899948,0.002809616,0.082061167,0.093897767
57,0.121041867,0.002290569,0.117149933,0.123796367
58,0.122577933,0.002871473,0.1108525,0.126554367
59,0.125651233,0.002869177,0.1223986,0.130466333
60,0.142764333,0.004203183,0.133806667,0.147033
61,0.146314,0.00363418,0.139025667,0.156119667
62,0.151686333,0.004786763,0.144790667,0.156119667
63,0.147730333,0.002363577,0.143516,0.151540333
64,0.151357,0.002438957,0.145942,0.158179333
65,0.154031333,0.003878197,0.139546,0.161350333
66,0.153825667,0.002329593,0.148367333,0.155824333
67,0.156274,0.001829335,0.151222667,0.160731333
68,0.157925667,0.002101453,0.151986333,0.160731333
69,0.157908333,0.003797025,0.144292,0.161914667
70,0.160646667,0.002126123,0.154513333,0.163025
71,0.161372667,0.003191341,0.140355,0.163025
72,0.133510667,0.010813873,0.121911667,0.163547333
73,0.156438,0.0150087,0.12838,0.189922
74,0.175567,0.014642,0.146024667,0.194815667
75,0.190728667,0.01511,0.147453333,0.207964333
76,0.203773333,0.006793883,0.191407333,0.214228667
77,0.211520333,0.00552522,0.188606667,0.218123333
78,0.0716121,0.00352565,0.058900467,0.076608733
79,0.077635567,0.00643754,0.0717878,0.095697933
80,0.089106267,0.00863541,0.072064233,0.1011459
81,0.123446333,0.007089903,0.105792633,0.131941
82,0.131256333,0.0052998,0.119145667,0.143174667
83,0.138673667,0.005777183,0.128592667,0.149467
84,0.155887333,0.01587017,0.121344333,0.176840333
85,0.173771667,0.00809638,0.148614,0.182649
86,0.183150667,0.00603372,0.163579,0.192853
87,0.083258633,0.008223177,0.068549233,0.096634867
88,0.0952682,0.006842,0.073985933,0.1015572
89,0.101154033,0.003067533,0.092397467,0.107289
90,0.148960333,0.013515583,0.128069333,0.179372667
91,0.169751667,0.012726627,0.140216333,0.186037667
92,0.184338,0.00657807,0.160236,0.194478
93,0.175995333,0.009536213,0.151766667,0.184675667
94,0.18455,0.004320898,0.170870667,0.192663667
95,0.19067,0.00515607,0.181570333,0.199699
96,0.059138167,0.006074867,0.046358067,0.0697323
97,0.067738433,0.00505173,0.057221967,0.074643767
98,0.0738026,0.005075477,0.061504233,0.082038033
99,0.080544133,0.004018107,0.068891633,0.087052167
100,0.084845433,0.00373954,0.078261667,0.094769167
101,0.0895804,0.00484794,0.080144567,0.096039333
102,0.130733667,0.005237967,0.113453,0.138646
103,0.136221,0.004060067,0.128953333,0.142966333
104,0.140585333,0.00376106,0.129283667,0.146079667
105,0.0956356,0.006638283,0.074121167,0.102108367
106,0.100612133,0.002601667,0.095396033,0.103720733
107,0.102682167,0.001364362,0.099554033,0.1038354
108,0.103400067,0.00116349,0.101677433,0.107551167
109,0.105192367,0.001707427,0.1029131,0.107551167
110,0.106842567,0.002341283,0.098866733,0.109791
111,0.104267433,0.002037703,0.100545033,0.1078897
112,0.105970133,0.002396023,0.096933167,0.109733
113,0.107779333,0.00215583,0.098665033,0.109985
114,0.128617333,0.009741307,0.107499533,0.147391667
115,0.146517667,0.00942053,0.126789333,0.166563
116,0.160638667,0.008191237,0.142786,0.173749333
117,0.151763333,0.009564893,0.131268,0.168871333
118,0.164168,0.008503753,0.144744,0.181495333
119,0.176007,0.00946243,0.156244667,0.196097667
120,0.092747633,0.00832457,0.0798701,0.107964167
121,0.1053952,0.009056677,0.0884713,0.120634333
122,0.115461333,0.006746833,0.0973055,0.122528
123,0.093819167,0.006850017,0.0774661,0.106211833
124,0.102261567,0.00611766,0.089662167,0.111704
125,0.109118667,0.00446865,0.099319833,0.117687
