gvkey,gvkeyx,from,thru,conm,tic,co_conm,co_tic
001078,000003,19640331,,S&P 500 Comp-Ltd,I0003,ABBOTT LABORATORIES,ABT
001300,000003,19640331,,S&P 500 Comp-Ltd,I0003,HONEYWELL INTERNATIONAL INC,HON
001440,000003,19640331,,S&P 500 Comp-Ltd,I0003,AMERICAN ELECTRIC POWER CO,AEP
002285,000003,19640331,,S&P 500 Comp-Ltd,I0003,BOEING CO,BA
002403,000003,19640331,,S&P 500 Comp-Ltd,I0003,BRISTOL-MYERS SQUIBB CO,BMY
002663,000003,19640331,,S&P 500 Comp-Ltd,I0003,CAMPBELL SOUP CO,CPB
002817,000003,19640331,,S&P 500 Comp-Ltd,I0003,CATERPILLAR INC,CAT
002991,000003,19640331,,S&P 500 Comp-Ltd,I0003,CHEVRON CORP,CVX
003144,000003,19640331,,S&P 500 Comp-Ltd,I0003,COCA-COLA CO,KO
003170,000003,19640331,,S&P 500 Comp-Ltd,I0003,COLGATE-PALMOLIVE CO,CL
003413,000003,19640331,,S&P 500 Comp-Ltd,I0003,CONSOLIDATED EDISON INC,ED
003532,000003,19640331,,S&P 500 Comp-Ltd,I0003,CORNING INC,GLW
003835,000003,19640331,,S&P 500 Comp-Ltd,I0003,DEERE & CO,DE
003897,000003,19640331,,S&P 500 Comp-Ltd,I0003,DTE ENERGY CO,DTE
004029,000003,19640331,,S&P 500 Comp-Ltd,I0003,DOMINION ENERGY INC,D
004060,000003,19640331,,S&P 500 Comp-Ltd,I0003,DOWDUPONT INC,DWDP
004199,000003,19640331,,S&P 500 Comp-Ltd,I0003,EATON CORP PLC,ETN
004503,000003,19640331,,S&P 500 Comp-Ltd,I0003,EXXON MOBIL CORP,XOM
004839,000003,19640331,,S&P 500 Comp-Ltd,I0003,FORD MOTOR CO,F
005046,000003,19640331,,S&P 500 Comp-Ltd,I0003,GENERAL DYNAMICS CORP,GD
005047,000003,19640331,,S&P 500 Comp-Ltd,I0003,GENERAL ELECTRIC CO,GE
005234,000003,19640331,,S&P 500 Comp-Ltd,I0003,GOODYEAR TIRE & RUBBER CO,GT
005439,000003,19640331,,S&P 500 Comp-Ltd,I0003,HALLIBURTON CO,HAL
005597,000003,19640331,,S&P 500 Comp-Ltd,I0003,HERSHEY CO,HSY
006066,000003,19640331,,S&P 500 Comp-Ltd,I0003,INTL BUSINESS MACHINES CORP,IBM
006104,000003,19640331,,S&P 500 Comp-Ltd,I0003,INTL PAPER CO,IP
006375,000003,19640331,,S&P 500 Comp-Ltd,I0003,KELLOGG CO,K
006435,000003,19640331,,S&P 500 Comp-Ltd,I0003,KIMBERLY-CLARK CORP,KMB
006502,000003,19640331,,S&P 500 Comp-Ltd,I0003,KROGER CO,KR
007163,000003,19640331,,S&P 500 Comp-Ltd,I0003,S&P GLOBAL INC,SPGI
007241,000003,19640331,,S&P 500 Comp-Ltd,I0003,CVS HEALTH CORP,CVS
007257,000003,19640331,,S&P 500 Comp-Ltd,I0003,MERCK & CO,MRK
007366,000003,19640331,,S&P 500 Comp-Ltd,I0003,ENTERGY CORP,ETR
007435,000003,19640331,,S&P 500 Comp-Ltd,I0003,3M CO,MMM
007585,000003,19640331,,S&P 500 Comp-Ltd,I0003,MOTOROLA SOLUTIONS INC,MSI
007923,000003,19640331,,S&P 500 Comp-Ltd,I0003,NORFOLK SOUTHERN CORP,NSC
007977,000003,19640331,,S&P 500 Comp-Ltd,I0003,XCEL ENERGY INC,XEL
008099,000003,19640331,,S&P 500 Comp-Ltd,I0003,FIRSTENERGY CORP,FE
008247,000003,19640331,,S&P 500 Comp-Ltd,I0003,PPG INDUSTRIES INC,PPG
008264,000003,19640331,,S&P 500 Comp-Ltd,I0003,PG&E CORP,PCG
008272,000003,19640331,,S&P 500 Comp-Ltd,I0003,SEMPRA ENERGY,SRE
008479,000003,19640331,,S&P 500 Comp-Ltd,I0003,PEPSICO INC,PEP
008530,000003,19640331,,S&P 500 Comp-Ltd,I0003,PFIZER INC,PFE
008539,000003,19640331,,S&P 500 Comp-Ltd,I0003,EXELON CORP,EXC
008543,000003,19640331,,S&P 500 Comp-Ltd,I0003,ALTRIA GROUP INC,MO
008549,000003,19640331,,S&P 500 Comp-Ltd,I0003,CONOCOPHILLIPS,COP
008762,000003,19640331,,S&P 500 Comp-Ltd,I0003,PROCTER & GAMBLE CO,PG
008810,000003,19640331,,S&P 500 Comp-Ltd,I0003,PUBLIC SERVICE ENTRP GRP INC,PEG
008972,000003,19640331,,S&P 500 Comp-Ltd,I0003,RAYTHEON CO,RTN
009203,000003,19640331,,S&P 500 Comp-Ltd,I0003,ROCKWELL AUTOMATION,ROK
009846,000003,19640331,,S&P 500 Comp-Ltd,I0003,EDISON INTERNATIONAL,EIX
009850,000003,19640331,,S&P 500 Comp-Ltd,I0003,SOUTHERN CO,SO
010499,000003,19640331,,S&P 500 Comp-Ltd,I0003,TEXAS INSTRUMENTS INC,TXN
010867,000003,19640331,,S&P 500 Comp-Ltd,I0003,UNION PACIFIC CORP,UNP
010983,000003,19640331,,S&P 500 Comp-Ltd,I0003,UNITED TECHNOLOGIES CORP,UTX
011456,000003,19640331,,S&P 500 Comp-Ltd,I0003,WEYERHAEUSER CO,WY
011465,000003,19640331,,S&P 500 Comp-Ltd,I0003,WHIRLPOOL CORP,WHR
011636,000003,19640331,,S&P 500 Comp-Ltd,I0003,XEROX CORP,XRX
010120,000003,19640331,19640531,S&P 500 Comp-Ltd,I0003,STUDEBAKER-WORTHINGTON INC,SKW
186940,000003,19640331,19640531,S&P 500 Comp-Ltd,I0003,TEXAS GULF PRODUCING CO,TR.1
011347,000003,19640331,19640831,S&P 500 Comp-Ltd,I0003,WELBILT CORP,WBLT
186948,000003,19640331,19640831,S&P 500 Comp-Ltd,I0003,SEE CENTRAL,5740B
187080,000003,19640331,19640831,S&P 500 Comp-Ltd,I0003,CELOTEX CORP,CLO.1
186925,000003,19640331,19641130,S&P 500 Comp-Ltd,I0003,NY CHICAGO & ST LOUIS RR,NKP.
006096,000003,19640331,19650228,S&P 500 Comp-Ltd,I0003,MALLINCKRODT INC,MKG
186910,000003,19640331,19650228,S&P 500 Comp-Ltd,I0003,ALCO PRODUCTS INC,AP.
186913,000003,19640331,19650228,S&P 500 Comp-Ltd,I0003,HEWITT-ROBINS CONVEYOR EQPMT,HEW.1
186914,000003,19640331,19650228,S&P 500 Comp-Ltd,I0003,ALDENS INC,AUD.1
186937,000003,19640331,19650228,S&P 500 Comp-Ltd,I0003,SMITH-DOUGLAS CO INC,SDG.2
186944,000003,19640331,19650228,S&P 500 Comp-Ltd,I0003,RELIANCE MANUFACTURING,RMC
186949,000003,19640331,19650228,S&P 500 Comp-Ltd,I0003,ROYAL MCBEE CORP,RMB.1
187091,000003,19640331,19650228,S&P 500 Comp-Ltd,I0003,JAEGER MACHINE CO,JAE
001302,000003,19640331,19650531,S&P 500 Comp-Ltd,I0003,ALLIED SUPERMARKETS,ASU.1
