,MSFT,HON,KO,XOM,GE,GM,IBM,MO,KODK,CVX,AAPL,GT,DWDP,UTX,PG,CAT,WBA,BA,IP,PFE,JNJ,MMM,MRK,DIS,HPQ,MCD,JPM,WMT,NKE,AXP,INTC,BAC,TRV,VZ,T,HD,AIG,C,CSCO,GS,MDLZ,V,UNH
MSFT,1.0,0.247261930016,0.521190535636,0.529615290241,0.0321961353499,0.22519921403,0.71552396638,0.0643512239626,0.00946128906929,0.654008067194,0.793318908359,0.270939836449,0.732863597008,0.59630787751,0.381352570258,0.670549679859,0.518287991846,0.658721485927,0.322924088051,0.634074974219,0.523836541454,0.745738626087,0.301792142727,0.689850576326,0.271911556577,0.546355286459,0.82437785808,0.384314031556,0.598982455703,0.768598259569,0.657773780049,0.269874996755,0.638231018218,0.549501575211,0.0762136025622,0.765787187668,0.00861370043859,0.251336467535,0.806485181293,0.749377828776,0.13330471902,0.871544787936,0.592797860465
HON,0.247261930016,1.0,0.373600311811,0.395978191861,0.333942672078,0.413416657314,0.297006751692,0.524195807653,0.23402396865,0.299838054438,0.192536084593,0.652044112082,0.24478069449,0.170752412153,0.106910787718,0.258706075884,0.295323730952,0.262086439147,0.616864133165,0.472671111116,0.265653829849,0.470017339808,0.285770062519,0.364285689108,0.674278586779,0.430644432661,0.352129619513,0.186609956635,0.340744442776,0.381207524209,0.386800781443,0.739922350441,0.389100163798,0.278969389515,0.503184990152,0.235651791036,0.530125876186,0.814708898647,0.332709474119,0.288466913912,0.426508034277,0.279270367299,0.40739955967
KO,0.521190535636,0.373600311811,1.0,0.584114742382,0.262052178943,0.291765112637,0.520179068003,0.378652233219,0.0191981619902,0.507049572056,0.508590828604,0.342704230942,0.575941508837,0.537898795831,0.685815594326,0.496240310299,0.429955672872,0.508664118796,0.386941541423,0.688425300153,0.632530327067,0.701557028424,0.618840649236,0.540356839405,0.326712383961,0.527014190146,0.5865944524,0.592755644816,0.512020518717,0.590659796823,0.409960070163,0.325842506276,0.671546895171,0.753520824432,0.295563164887,0.669939850524,0.289266601588,0.403673845743,0.526382257469,0.546228326205,0.194744106063,0.584330727775,0.5952124276
XOM,0.529615290241,0.395978191861,0.584114742382,1.0,0.143723000395,0.29197590426,0.555017299018,0.228813526276,0.115565444577,0.742710747739,0.508326239074,0.349225815632,0.561562414528,0.532496276715,0.480683298241,0.53887502822,0.411504516224,0.481847005911,0.400485568271,0.523149509936,0.509870053166,0.598623533035,0.450509515742,0.678400550016,0.407216569381,0.419428839136,0.61324847742,0.417483959687,0.433624894837,0.59920823553,0.422197592812,0.278228473428,0.559182129017,0.547348818857,0.178890729749,0.636940127756,0.16693227262,0.391186385815,0.558235993565,0.564855653505,0.118563187155,0.62157173,0.473721492147
GE,0.0321961353499,0.333942672078,0.262052178943,0.143723000395,1.0,0.337291757097,0.170345239749,0.493388182249,0.205378571021,0.0857415105256,0.0700907235172,0.229026136024,0.102597558005,0.0674620530547,0.201451359238,0.101924505575,0.0583414713911,0.194200496657,0.239498754138,0.16044143474,0.0860155763718,0.230402924236,0.222858391446,0.179218083899,0.196569027242,0.150877970107,0.172521009339,0.0530071798721,0.150131772977,0.280190829969,-0.108478781488,0.311823269468,0.200487627658,0.199693429951,0.170846047649,0.090304868971,0.416858481899,0.43602572816,0.0151694347488,0.253261635954,0.181507506149,0.02956545699,0.0196146794472
GM,0.22519921403,0.413416657314,0.291765112637,0.29197590426,0.337291757097,1.0,0.259717791057,0.255656525197,-0.142086693855,0.340103993308,0.286106997562,0.338805338216,0.465239296241,0.23220952632,0.285454418308,0.450542978899,-0.00801397182646,0.294419408343,0.458289161019,0.154006476364,0.137754567322,0.334586836126,0.194640372191,0.232611206574,0.31801955241,0.461556533598,0.351917686607,0.139128822085,0.237456888928,0.385060728597,0.0600228586261,0.394236160211,0.280142256855,0.202911664839,0.160490921158,0.327675290347,0.313745243425,0.519856624764,0.216739181096,0.375698175401,0.134798605128,0.268503746032,0.314549883823
IBM,0.71552396638,0.297006751692,0.520179068003,0.555017299018,0.170345239749,0.259717791057,1.0,0.175336532849,0.0952641576145,0.597529588485,0.627192871974,0.274127678905,0.666716070035,0.536941399787,0.319991045674,0.550784507061,0.418630539665,0.555544736626,0.433144496319,0.681085447719,0.478440351394,0.697734691155,0.463258868242,0.548005664416,0.366120088574,0.513394606454,0.72975845137,0.44368954644,0.398921454759,0.738379596377,0.494508208384,0.347374036959,0.636696099173,0.437009016621,0.155948767356,0.641949366098,0.101007921057,0.354492265907,0.697608557289,0.559252713013,0.278551595717,0.766897806903,0.681739616166
MO,0.0643512239626,0.524195807653,0.378652233219,0.228813526276,0.493388182249,0.255656525197,0.175336532849,1.0,0.18887869049,0.0615841022025,0.0165464980945,0.566328721417,0.0976839120294,0.0708859991254,0.228537321131,0.16427210615,0.232732027013,0.106651217761,0.516065102264,0.224870447266,0.161743009244,0.271036784229,0.259326770881,0.177080705411,0.543572525798,0.240746689205,0.19325069725,0.238775419149,0.191643345089,0.264898249354,0.0667128141223,0.479838135123,0.400638391545,0.359836057337,0.729377455635,0.0580379945764,0.472088699955,0.561146261301,0.079106426273,0.229909675307,0.513936167978,0.108216687016,0.221707102712
KODK,0.00946128906929,0.23402396865,0.0191981619902,0.115565444577,0.205378571021,-0.142086693855,0.0952641576145,0.18887869049,1.0,0.172537209748,0.0790410103162,0.304624183157,-0.00795227250817,0.0627994554878,0.0410304686805,0.0609963241143,0.15591645,0.0110219770879,0.123287169889,0.00568373148398,0.0404035889897,-0.00483175381114,0.0656049132241,-0.0141000046396,0.188203869471,0.0441936908402,0.119073693716,0.00639670463029,0.00868402648424,0.125622858987,-0.0601143859497,0.167839283879,0.0214488899832,0.124921854168,-0.246758961112,0.00962369105271,0.116175493607,0.250261422455,0.0475874885426,0.0943224200116,-0.0437627876204,0.110128262219,0.00442804228177
CVX,0.654008067194,0.299838054438,0.507049572056,0.742710747739,0.0857415105256,0.340103993308,0.597529588485,0.0615841022025,0.172537209748,1.0,0.613650077182,0.303308242219,0.752459438404,0.554677310257,0.454897812756,0.703292876573,0.540919767687,0.566260625462,0.274243881597,0.545119480503,0.583150784263,0.647505870957,0.308290817304,0.668637405957,0.331598012374,0.506348095126,0.741398424156,0.361430646291,0.511260471979,0.659482696034,0.530204994521,0.255772887295,0.477361900213,0.568188509399,-0.0281015501919,0.778613884972,0.0503407914301,0.306126018201,0.65048834815,0.640625084168,0.0591863810425,0.7256194462,0.557819668119
