gen	nevals	avg      	min      	max      
0  	50    	0.0469071	0.0107527	0.0938967
1  	100   	0.0643837	0.0424929	0.0938967
2  	100   	0.0831526	0.0633333	0.0938967
3  	100   	0.0882128	0.0721925	0.0934959
4  	100   	0.092292 	0.078853 	0.0942623
5  	100   	0.0937872	0.0934959	0.0942623
6  	100   	0.0751807	0.0664894	0.0827423
7  	100   	0.0810661	0.073955 	0.0909091
8  	100   	0.0863374	0.0757576	0.0927318
9  	100   	0.101206 	0.0833333	0.115974 
10 	100   	0.108587 	0.0965665	0.115974 
11 	100   	0.113926 	0.106918 	0.118257 
12 	100   	0.11168  	0.092827 	0.120316 
13 	100   	0.115459 	0.108696 	0.120316 
14 	100   	0.120955 	0.113636 	0.134855 
15 	100   	0.126823 	0.126761 	0.127389 
16 	100   	0.126619 	0.108987 	0.127389 
17 	100   	0.127598 	0.126761 	0.130152 
18 	100   	0.123824 	0.116667 	0.126706 
19 	100   	0.12568  	0.119149 	0.127745 
20 	100   	0.1271   	0.119149 	0.127745 
21 	100   	0.1041   	0.103448 	0.105943 
22 	100   	0.104819 	0.104019 	0.105943 
23 	100   	0.105751 	0.104019 	0.105943 
24 	100   	0.0694468	0.0595855	0.0710526
25 	100   	0.0711329	0.0693642	0.0795455
26 	100   	0.0739689	0.0693642	0.0795455
27 	100   	0.0678007	0.0530726	0.0697674
28 	100   	0.0695188	0.0662824	0.0697674
29 	100   	0.0695722	0.0634921	0.0697674
30 	100   	0.0678993	0.0581114	0.0720461
31 	100   	0.0694535	0.0641399	0.0720461
32 	100   	0.0714484	0.0676471	0.0766962
33 	100   	0.069647 	0.0594901	0.0782609
34 	100   	0.074547 	0.0695652	0.0806452
35 	100   	0.0792055	0.0695652	0.0811594
36 	100   	0.0817862	0.0781759	0.0880503
37 	100   	0.0866719	0.0810811	0.096875 
38 	100   	0.0912647	0.0873786	0.096875 
39 	100   	0.121285 	0.114345 	0.122407 
40 	100   	0.122341 	0.119149 	0.122407 
41 	100   	0.121873 	0.095723 	0.122407 
42 	100   	0.118257 	0.118257 	0.118257 
43 	100   	0.118257 	0.118257 	0.118257 
44 	100   	0.117603 	0.0855513	0.118257 
45 	100   	0.100772 	0.100703 	0.10245  
46 	100   	0.101402 	0.100703 	0.110329 
47 	100   	0.103921 	0.100703 	0.110849 
48 	100   	0.114115 	0.102679 	0.11639  
49 	100   	0.115632 	0.106667 	0.11639  
50 	100   	0.116379 	0.115839 	0.11639  
51 	100   	0.13123  	0.130977 	0.13278  
52 	100   	0.132023 	0.130977 	0.13278  
53 	100   	0.132672 	0.130977 	0.13278  
54 	100   	0.128546 	0.128364 	0.128898 
